AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KRFT,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM
15.28,47.74,72.69,10.8,96.79,15.12,99.67,49.78,38.5,18.32,33.47,35.25,163.18,21.38,66.09,41.05,65.39,33.79,80.36,90.73,35.45,23.7,20.11,64.7,30.34,59.21,82.7,35.19,52.72,79.78
-0.36,1.39,2.07,0.38,3.46,0.92,1.23,0.52,0.68,0.39,1.06,0.74,1.58,0.42,-0.22,0.05,0.12,0.28,0.24,-0.35,0.25,0.2,0.71,0.66,0.21,2.14,0.23,0.38,1.14,1.15
15.29,47.96,73.85,10.89,96.93,15.14,100.04,50.03,38.63,18.31,33.46,35.13,164.44,21.43,66.32,41.29,65.1,33.92,80.43,91.14,35.03,23.79,20.08,64.65,30.28,59.12,82.92,35.23,52.91,80
15.5,49.14,74.69,11.12,98.45,15.28,101.29,50.63,38.86,18.9,34.93,35.32,165.1,26.78,67.36,42.44,66.23,34.72,82.72,92.99,35.88,29.05,20.73,65.22,30.95,59.32,85.26,35.92,53.29,80.82
14.59,46.92,73.8,10.4,94.2,14.78,97.71,48.64,37.77,18.2,33.41,33.95,161.52,21.07,65.47,39.7,64.64,33.76,80.39,90.58,34.99,23.65,20.03,63.33,30.17,57.36,82.52,34.94,51.79,78.33
14.72,48.5,74.25,10.68,95.95,14.97,99.17,49.57,38.04,18.49,34.53,35,164.44,21.19,66.29,40.8,65.62,34.48,82.52,91.78,35.39,24.26,20.26,64.69,30.77,57.92,84.57,35.51,52.82,79.02
0.57,-0.54,-0.4,0.21,0.98,0.17,0.87,0.46,0.59,-0.18,-1.07,0.13,0,0.24,0.03,0.49,-0.52,-0.56,-2.09,-0.64,-0.36,-0.47,-0.18,-0.04,-0.49,1.2,-1.65,-0.28,0.09,0.98
14.67,48.35,74.17,10.59,96.49,14.94,98.88,49.5,37.85,18.34,34.29,34.79,163.7,21.19,66.08,40.5,65.37,34.39,82.32,91.42,35.29,24.17,20.09,64.51,30.66,57.57,84.36,35.35,52.7,78.65
15.6,50.15,75.25,10.94,102.5,15.64,102.46,51.98,38.89,18.94,35.69,35.65,166.81,21.74,66.75,41.53,66.82,34.98,83.09,93.92,35.97,24.86,20.96,65.29,31.33,58.28,86.21,36.17,53.7,81.12
14.56,48.15,74.09,10.48,96.05,14.92,97,49.46,37.19,17.97,34.28,34.55,163.59,21.06,64.69,39.44,64.43,33.87,81.4,90.68,34.5,24.16,20.08,62.44,30.29,56.12,83.69,35.2,52.35,76.78
15.23,48.34,75.25,10.52,100.01,14.93,97.9,51.96,37.58,17.97,35.08,34.9,165.07,21.2,65.06,39.49,64.93,34.6,81.84,90.89,34.55,24.3,20.08,62.59,30.44,56.68,84.33,36,52.41,76.78
-0.56,0.01,-1.08,0.07,-3.52,0.01,0.98,-2.46,0.27,0.37,-0.79,-0.11,-1.37,-0.01,1.02,1.01,0.44,-0.21,0.48,0.53,0.74,-0.13,0.01,1.92,0.22,0.89,0.03,-0.65,0.29,1.87
15.22,48.49,75.08,10.52,99.96,14.94,97.94,51.85,37.62,18,35.03,35.05,165.74,21.17,65.2,39.4,64.85,34.61,81.51,91.08,34.6,24.23,20.1,62.76,30.65,56.83,84.01,36,52.32,76.88
16.31,52.34,74.25,11.09,108.62,15.86,104.09,54.47,39.72,19.2,36.73,37.05,174.54,22.53,67.3,41.58,68.09,35.47,85.65,96.67,35.6,26.02,20.75,64.27,31.68,59.11,90.13,37.8,53.51,82.01
